Prel	liquid_fraction	
0.960922	1.03147
0.960646	1.03097
0.960226	1.03048
0.959816	1.02998
0.959439	1.0295
0.959131	1.02902
0.958711	1.02854
0.95827	1.02807
0.957881	1.0276
0.957472	1.02714
0.95727	1.02669
0.95667	1.02624
0.956327	1.0258
0.95608	1.02536
0.955649	1.02492
0.955275	1.02448
0.954826	1.02406
0.95442	1.02363
0.954074	1.02322
0.953665	1.0228
0.953248	1.0224
0.952941	1.02199
0.952496	1.02159
0.952086	1.0212
0.951726	1.02081
0.951486	1.02042
0.950963	1.02003
0.950603	1.01964
0.950331	1.01926
0.949882	1.01887
0.94948	1.01849
0.949067	1.01811
0.948756	1.01773
0.94829	1.01736
0.947979	1.01699
0.947492	1.01662
0.947142	1.01626
0.946754	1.0159
0.946245	1.01554
0.945959	1.01519
0.945532	1.01485
0.945059	1.01451
0.944755	1.01417
0.944568	1.01383
0.943957	1.0135
0.94365	1.01316
0.943286	1.01283
0.942827	1.0125
0.942417	1.01217
0.94206	1.01184
0.941778	1.01152
0.941287	1.01119
0.940937	1.01087
0.940425	1.01055
0.940079	1.01024
0.939694	1.00993
0.939306	1.00963
0.938864	1.00932
0.938476	1.00903
0.938049	1.00874
0.937777	1.00844
0.937484	1.00815
0.93701	1.00785
0.936739	1.00755
0.936357	1.00724
0.936018	1.00693
0.93576	1.00661
0.93558	1.00628
0.935414	1.00592
0.935029	1.00555
0.935008	1.00515
0.934906	1.00471
0.934616	1.00425
0.934595	1.00374
0.9345	1.0032
0.934291	1.00261
0.934217	1.00198
0.934168	1.00131
0.934115	1.00059
0.934009	0.999825
0.933913	0.999013
0.933875	0.998154
0.933783	0.99725
0.93367	0.996302
0.933638	0.995311
0.9335	0.994281
0.933507	0.993208
0.933377	0.992097
0.933352	0.990948
0.933355	0.989759
0.933366	0.98853
0.933306	0.987262
0.933087	0.985965
0.933094	0.984637
0.933027	0.98328
0.933006	0.981894
0.932949	0.98048
0.932935	0.979038
0.932949	0.977567
0.932677	0.97608
0.932685	0.974573
0.932766	0.973041
0.932677	0.971488
0.932653	0.969915
0.932603	0.968323
0.932522	0.966714
0.932441	0.965091
0.932519	0.963449
0.932257	0.961801
0.932285	0.960141
0.932236	0.95847
0.932261	0.956786
0.932201	0.955091
0.932261	0.953381
0.932268	0.951655
0.932098	0.949921
0.932095	0.948176
0.932158	0.946419
0.932105	0.94465
0.931911	0.942878
0.932088	0.941093
0.932084	0.939295
0.931883	0.937493
0.931788	0.93569
0.93183	0.933881
0.931759	0.932069
0.931728	0.930253
0.931692	0.928434
0.931696	0.926609
0.931699	0.924779
0.931696	0.922941
0.931427	0.921107
0.931699	0.919263
0.931699	0.917408
0.931699	0.915543
0.931643	0.913671
0.931562	0.911795
0.931509	0.909917
0.931424	0.908038
0.931449	0.906156
0.93141	0.904273
0.931406	0.902386
0.93136	0.900498
0.93142	0.898604
0.931279	0.89671
0.931275	0.894815
0.931268	0.892919
0.931265	0.891019
0.93106	0.889125
0.931078	0.887233
0.931014	0.885344
0.931007	0.883456
0.931155	0.881562
0.931155	0.87966
0.931014	0.877759
0.930996	0.875856
0.930982	0.873952
0.931014	0.872043
0.931021	0.87013
0.930936	0.868216
0.930915	0.8663
0.930848	0.864385
0.930845	0.862469
0.930915	0.860549
0.930862	0.858626
0.930841	0.856701
0.930845	0.854773
0.930753	0.852845
0.930601	0.850924
0.930576	0.849007
0.930548	0.847093
0.930555	0.845181
0.930573	0.843269
0.930534	0.841357
0.930499	0.839445
0.930587	0.837528
0.930643	0.835604
0.930587	0.833676
0.930463	0.831748
0.930456	0.82982
0.93059	0.827885
0.930576	0.825944
0.930569	0.823997
0.930449	0.82205
0.930442	0.820103
0.930431	0.818155
0.930428	0.816205
0.930301	0.814258
0.930258	0.812316
0.930248	0.810375
0.930223	0.808438
0.930163	0.806503
0.930061	0.804575
0.930082	0.80265
0.930145	0.800724
0.930025	0.798801
0.930011	0.79688
0.930032	0.794959
0.930018	0.793037
0.930025	0.791113
0.930032	0.789187
0.929955	0.78726
0.929905	0.785335
0.929937	0.783408
0.929757	0.781487
0.929771	0.779568
0.9297	0.777654
0.929669	0.775743
0.929697	0.773833
0.929708	0.771921
0.929626	0.770011
0.929598	0.768103
0.929584	0.766194
0.929591	0.764285
0.929411	0.762381
0.929453	0.760479
0.929489	0.758575
0.92946	0.75667
0.929496	0.754761
0.929379	0.752853
0.929326	0.750948
0.929319	0.749042
0.929326	0.747136
0.929319	0.745227
0.92934	0.743315
0.929231	0.741405
0.929326	0.739489
0.929316	0.737569
0.9294	0.73564
0.929301	0.733709
0.929256	0.731775
0.929238	0.72984
0.929284	0.727901
0.929167	0.725962
0.929132	0.724025
0.929192	0.722084
0.929033	0.720148
0.929128	0.71821
0.928906	0.71628
0.928902	0.714354
0.928909	0.712431
0.928804	0.710513
0.928743	0.708602
0.928733	0.706696
0.928761	0.70479
0.92874	0.702885
0.92874	0.700979
0.928754	0.699071
0.928634	0.697166
0.928701	0.695258
0.928623	0.693351
0.928613	0.691443
0.928482	0.689539
0.928419	0.68764
0.928464	0.685742
0.928376	0.683847
0.928295	0.681957
0.928337	0.680068
0.928313	0.678178
0.928291	0.676289
0.928108	0.674407
0.928065	0.67253
0.928069	0.670656
0.928037	0.668785
0.928073	0.666912
0.928083	0.665037
0.928069	0.663159
0.928048	0.661278
