Prel	liquid_fraction
0.154785	-0.0983938
0.155357	-0.0982955
0.156081	-0.0981998
0.156639	-0.0981049
0.157183	-0.0980087
0.157677	-0.0979078
0.158433	-0.0978101
0.158959	-0.0977123
0.159644	-0.0976058
0.160393	-0.0975117
0.160831	-0.0974215
0.161339	-0.0973312
0.161982	-0.0972432
0.162318	-0.0971467
0.16313	-0.0970529
0.163758	-0.0969628
0.164327	-0.0968748
0.16491	-0.0967884
0.165503	-0.0967037
0.166128	-0.0966218
0.166707	-0.0965418
0.167209	-0.0964599
0.167629	-0.0963694
0.168462	-0.0962825
0.169045	-0.0961979
0.169504	-0.0961101
0.170221	-0.0960251
0.170843	-0.0959439
0.171245	-0.0958581
0.172008	-0.095776
0.17246	-0.0956911
0.173187	-0.0956101
0.173505	-0.0955209
0.174317	-0.0954348
0.174996	-0.0953548
0.175511	-0.0952769
0.17602	-0.0951975
0.176539	-0.0951141
0.177139	-0.0950282
0.177701	-0.0949394
0.178492	-0.0948568
0.178982	-0.0947752
0.17936	-0.094686
0.180042	-0.0945949
0.180579	-0.0945003
0.181356	-0.0944108
0.181974	-0.094327
0.182532	-0.0942383
0.183294	-0.0941615
0.18369	-0.0940865
0.184276	-0.0940132
0.184898	-0.0939428
0.185501	-0.0938757
0.185918	-0.093804
0.18643	-0.0937259
0.187218	-0.093651
0.187624	-0.0935712
0.188284	-0.0934909
0.189125	-0.0934208
0.189337	-0.0933432
0.190036	-0.0932648
0.190548	-0.0931828
0.191371	-0.093108
0.191738	-0.0930299
0.192416	-0.0929533
0.192931	-0.0928751
0.193465	-0.0927937
0.194238	-0.0927178
0.194559	-0.0926352
0.195446	-0.0925603
0.195898	-0.0924861
0.196346	-0.0924069
0.197028	-0.0923282
0.197741	-0.0922553
0.198094	-0.0921775
0.198716	-0.0920978
0.199274	-0.0920155
0.199931	-0.0919344
0.200513	-0.0918544
0.201244	-0.0917818
0.201636	-0.0917072
0.20241	-0.0916392
0.202823	-0.0915694
0.203384	-0.0914977
0.204045	-0.0914277
0.204483	-0.0913532
0.205249	-0.091283
0.205698	-0.0912107
0.206259	-0.0911362
0.206923	-0.0910635
0.207495	-0.0909918
0.207898	-0.0909138
0.208593	-0.0908357
0.209137	-0.090756
0.209798	-0.0906786
0.210288	-0.0905996
0.210776	-0.0905156
0.211454	-0.0904319
0.211931	-0.0903444
0.212591	-0.0902574
0.213181	-0.0901714
0.213668	-0.0900827
0.214346	-0.0899964
0.214851	-0.0899091
0.215398	-0.08982
0.216052	-0.0897328
0.216475	-0.0896411
0.21727	-0.089555
0.217461	-0.0894575
0.218241	-0.0893599
0.218838	-0.0892631
0.219339	-0.0891642
0.220123	-0.0890725
0.220314	-0.0889707
0.220992	-0.0888658
0.221748	-0.0887661
0.222249	-0.0886677
0.222807	-0.08857
0.223418	-0.0884749
0.223905	-0.0883784
0.224531	-0.0882834
0.225145	-0.0881913
0.225925	-0.0881105
0.22625	-0.0880286
0.226833	-0.0879465
0.227334	-0.0878614
0.227974	-0.0877769
0.22856	-0.0876935
0.229072	-0.0876088
0.229761	-0.087528
0.230244	-0.0874467
0.230749	-0.0873626
0.231452	-0.0872819
0.232148	-0.0872091
0.232663	-0.0871403
0.233221	-0.0870744
0.23362	-0.0870037
0.234132	-0.0869269
0.23487	-0.0868523
0.235446	-0.0867795
0.236099	-0.0867118
0.236548	-0.0866431
0.237222	-0.0865782
0.23748	-0.0865031
0.238377	-0.0864339
0.238882	-0.0863665
0.239437	-0.0863
0.239808	-0.0862261
0.240362	-0.0861458
0.241104	-0.0860675
0.241573	-0.0859869
0.24223	-0.0859081
0.242799	-0.0858311
0.243226	-0.0857496
0.2439	-0.0856694
0.24448	-0.0855907
0.245002	-0.0855113
0.245677	-0.0854363
0.246143	-0.0853605
0.246718	-0.0852847
0.247255	-0.0852077
0.247852	-0.0851311
0.248346	-0.085052
0.249035	-0.0849761
0.249455	-0.0848968
0.25007	-0.0848169
0.250667	-0.0847379
0.251383	-0.0846662
0.251941	-0.0846001
0.252347	-0.0845319
0.252785	-0.084457
0.253612	-0.0843878
0.253997	-0.0843154
0.254445	-0.084236
0.255102	-0.0841549
0.255837	-0.0840797
0.256161	-0.0839991
0.256744	-0.0839155
0.257284	-0.0838285
0.257987	-0.0837448
0.258552	-0.0836639
0.259153	-0.0835871
0.259626	-0.08351
0.260276	-0.0834365
0.260858	-0.0833668
0.261342	-0.083297
0.261836	-0.0832244
0.262504	-0.0831542
0.26297	-0.0830819
0.263475	-0.0830057
0.26416	-0.0829316
0.264598	-0.0828541
0.265121	-0.0827724
0.265555	-0.0826823
0.266385	-0.0825969
0.267017	-0.0825183
0.267349	-0.0824358
0.267914	-0.0823508
0.268458	-0.0822632
0.268917	-0.0821696
0.269563	-0.0820751
0.270107	-0.0819794
0.270852	-0.081891
0.271322	-0.0818046
0.27188	-0.0817203
0.272183	-0.0816273
0.272989	-0.0815381
0.273589	-0.0814537
0.274066	-0.0813699
0.27462	-0.081287
0.27522	-0.0812066
0.275514	-0.0811174
0.276259	-0.0810294
0.276757	-0.08094
0.277438	-0.0808549
0.277887	-0.080769
0.278363	-0.0806794
0.278971	-0.0805894
0.279546	-0.0804999
0.280097	-0.0804111
0.280779	-0.0803282
0.281358	-0.0802512
0.281983	-0.0801822
0.282463	-0.0801165
0.282869	-0.0800474
0.283463	-0.0799775
0.283865	-0.0799005
0.284547	-0.0798234
0.285087	-0.0797456
0.285497	-0.0796614
0.286178	-0.0795778
0.286715	-0.0794939
0.28727	-0.0794101
0.287828	-0.0793269
0.288403	-0.0792452
0.288954	-0.0791649
0.289498	-0.0790856
0.289985	-0.0790046
0.29049	-0.0789204
0.291281	-0.0788439
0.291592	-0.0787635
0.292146	-0.0786805
0.292715	-0.0785964
0.293259	-0.0785111
0.293834	-0.0784263
0.294495	-0.0783466
0.295035	-0.0782706
0.295505	-0.0781945
0.29613	-0.0781217
0.296667	-0.0780511
0.297013	-0.0779738
0.297574	-0.0778921
0.298323	-0.0778152
0.298786	-0.0777386
0.299245	-0.0776587
0.299993	-0.0775848
0.300477	-0.0775129
0.30088	-0.0774368
0.301558	-0.077363
0.301967	-0.0772853
0.302546	-0.077206
0.302995	-0.0771215
0.303737	-0.0770411
0.30422	-0.0769616
0.304785	-0.0768836
0.305312	-0.0768063
0.305728	-0.0767241
0.306343	-0.0766413
0.306922	-0.0765595
0.307434	-0.0764771
0.307946	-0.0763933
0.3085	-0.0763087
0.309161	-0.0762288
0.309542	-0.0761457
0.310273	-0.0760684
0.310799	-0.0759949
0.311223	-0.0759195
0.311813	-0.0758449
0.312382	-0.0757719
0.312805	-0.0756955
0.313321	-0.0756153
0.313978	-0.0755371
0.314363	-0.0754538
0.314935	-0.075368
0.315486	-0.0752807
0.316008	-0.0751917
0.316577	-0.0751026
