Prel	transmission
0.751815	0.659187
0.751748	0.652451
0.751751	0.653343
0.751748	0.654263
0.751639	0.654882
0.751755	0.654241
0.751702	0.661962
0.75148	0.661093
0.751667	0.660653
0.751332	0.662356
0.751579	0.662324
0.751336	0.662742
0.751332	0.662682
0.751286	0.662807
0.751329	0.663661
0.751276	0.663947
0.75124	0.663824
0.751219	0.662836
0.751198	0.65817
0.75104	0.662378
0.751191	0.664644
0.751205	0.664427
0.750941	0.663171
0.751089	0.662901
0.750962	0.660472
0.750941	0.662718
0.750937	0.661737
0.75086	0.661097
0.750888	0.657982
0.750793	0.656802
0.750768	0.659681
0.75062	0.657236
0.750567	0.660843
0.750536	0.66219
0.750469	0.662085
0.750504	0.662648
0.750514	0.660997
0.750497	0.653153
0.750451	0.658661
0.750352	0.661294
0.750472	0.663379
0.750345	0.661535
0.750359	0.662695
0.750211	0.661247
0.750215	0.660941
0.750236	0.661053
0.75006	0.660612
0.750102	0.657569
0.750014	0.656293
0.749979	0.659544
0.749951	0.659582
0.750046	0.659491
0.74976	0.660219
0.749707	0.656221
0.749933	0.652413
0.749929	0.656125
0.749831	0.656567
0.749785	0.655931
0.749728	0.654409
0.7497	0.655189
0.749612	0.65615
0.749637	0.655265
0.749587	0.652516
0.749552	0.652502
0.749489	0.653367
0.749439	0.649112
0.749408	0.649204
0.749401	0.651964
0.749521	0.647107
0.749256	0.652274
0.749256	0.648249
0.749108	0.649018
0.749098	0.647883
0.749101	0.649995
0.749122	0.650547
0.749073	0.651034
0.749115	0.651117
0.7489	0.649405
0.748854	0.65535
0.748802	0.652958
0.748837	0.650189
0.748833	0.653915
0.74884	0.653302
0.748844	0.655162
0.748826	0.655995
0.748618	0.655247
0.748428	0.654753
0.748685	0.653414
0.748654	0.657546
0.748685	0.656619
0.748604	0.657432
0.748431	0.657857
0.748435	0.658054
0.748442	0.657124
0.748431	0.658715
0.748382	0.659095
0.748386	0.655553
0.74828	0.656997
0.748269	0.657073
0.748276	0.660148
0.748273	0.661721
0.74828	0.659462
0.748259	0.658784
0.748276	0.659797
0.748206	0.660572
0.74822	0.659839
0.747906	0.660443
0.748195	0.66055
0.748012	0.660309
0.747875	0.659491
0.747864	0.66061
0.747945	0.659184
0.747868	0.661126
0.747892	0.662508
0.747836	0.661527
0.747885	0.661889
0.747832	0.658018
0.747882	0.655788
0.74766	0.655213
0.74761	0.660997
0.747561	0.658206
0.747614	0.662277
0.74761	0.658049
0.747617	0.657783
0.7476	0.659267
0.747543	0.665218
0.747536	0.66219
0.74754	0.662365
0.747388	0.665444
0.747378	0.654071
0.747364	0.66095
0.747226	0.660161
0.747307	0.653197
0.747184	0.659685
0.747187	0.660885
0.74711	0.66135
0.747099	0.659553
0.747039	0.662695
0.747187	0.663545
0.747057	0.66293
0.747053	0.664065
0.747046	0.664322
0.747039	0.663701
0.747043	0.663853
0.746948	0.654708
0.74687	0.658181
0.746789	0.665328
0.746807	0.663292
0.746793	0.663115
0.746722	0.665813
0.746708	0.665525
0.746652	0.662796
0.746697	0.663936
0.746606	0.664365
0.746398	0.664736
0.746472	0.664716
0.746306	0.660999
0.746384	0.661848
0.746373	0.663761
0.746292	0.66371
0.746366	0.65733
0.746236	0.663971
0.746373	0.663089
0.746334	0.660333
0.746275	0.65726
0.746215	0.660476
0.746201	0.661623
0.746197	0.659294
0.746105	0.662563
0.746232	0.660852
0.746014	0.664213
0.745943	0.665317
0.745919	0.66394
0.745855	0.665701
0.745795	0.665692
0.74582	0.661144
0.745809	0.666363
0.745809	0.661708
0.745802	0.665677
0.745552	0.663583
0.745756	0.663017
0.745813	0.659562
0.745682	0.660105
0.745619	0.65992
0.745467	0.660545
0.745489	0.660543
0.74545	0.657361
0.745386	0.658244
0.745393	0.658103
0.745383	0.662349
0.745178	0.658009
0.74539	0.656813
0.74539	0.655792
0.745362	0.655826
0.745323	0.65688
0.745231	0.656337
0.745263	0.65549
0.745185	0.654049
0.745136	0.659258
0.745133	0.660112
0.745037	0.659902
0.745073	0.655401
0.744985	0.660206
0.744963	0.659703
0.744886	0.658152
0.744935	0.658025
0.744872	0.659678
0.744819	0.658375
0.74497	0.658735
0.744713	0.657432
0.744699	0.656228
0.744703	0.655126
0.744706	0.656407
0.744526	0.657075
0.744699	0.657133
0.744625	0.655278
0.744646	0.657352
0.744607	0.649005
0.744555	0.654344
0.744491	0.651327
0.744562	0.651048
0.744544	0.6517
0.744442	0.650335
0.744354	0.648368
0.74429	0.655307
0.744262	0.656918
0.744206	0.657517
0.744294	0.653571
0.744213	0.656581
0.744153	0.655669
0.744135	0.657128
0.744132	0.656538
0.744146	0.657081
0.744132	0.655906
0.744149	0.65699
0.744142	0.657701
0.744111	0.658116
0.743878	0.659627
0.744121	0.657104
0.743931	0.658516
0.743934	0.658791
0.743874	0.656572
0.743793	0.658051
0.743797	0.659175
0.743814	0.657385
0.743737	0.658467
0.743748	0.654002
0.743716	0.65756
0.743645	0.647445
0.743494	0.653738
0.743455	0.654777
0.743455	0.658264
0.743416	0.655886
0.743656	0.658387
0.74342	0.655736
0.743455	0.661692
0.743459	0.661448
0.743473	0.658154
0.743413	0.660069
0.743409	0.661647
0.743293	0.655644
0.743314	0.655363
0.743384	0.654813
0.743328	0.657003
0.743339	0.660248
0.743212	0.659958
0.743282	0.65945
0.743074	0.658105
0.743071	0.662731
0.743036	0.660747
0.743039	0.662289
0.743053	0.664302
0.74305	0.662782
0.743046	0.661627
0.742912	0.660157
0.743036	0.660688
0.742891	0.658422
0.742877	0.663475
0.742891	0.6623
0.742895	0.659942
0.742912	0.663513
0.742782	0.664669
0.742888	0.661142
0.742757	0.663337
0.742627	0.662371
0.74263	0.663712
0.742623	0.663196
0.742507	0.663471
0.742528	0.661124
0.7425	0.661817
0.742539	0.660709
0.742595	0.661459
0.742553	0.661475
0.742338	0.663019
0.742503	0.662939
0.742472	0.661748
0.742207	0.661953
0.742429	0.662452
0.742225	0.66173
0.742214	0.662009
0.7422	0.661042
0.742264	0.662912
0.742088	0.663949
0.742105	0.664546
0.742109	0.663726
0.74214	0.66436
0.742112	0.665154
0.742006	0.665884
0.742056	0.664213
0.74207	0.665618
0.741876	0.665033
0.742006	0.669071
0.741806	0.668486
0.74182	0.661714
0.741809	0.666778
0.741665	0.664787
0.741784	0.665627
0.741777	0.666474
0.74176	0.664322
0.741721	0.664778
0.7414	0.664906
0.741636	0.66603
0.741534	0.664114
0.741555	0.667093
0.741414	0.663169
0.741407	0.656407
0.741362	0.655991
0.741411	0.663659
0.741316	0.65945
0.741316	0.66548
0.741235	0.662905
0.741242	0.661062
0.741245	0.664021
0.741221	0.663884
0.741062	0.658775
0.741217	0.65933
0.741221	0.657844
0.740925	0.657984
0.741108	0.653405
0.740981	0.657616
0.741118	0.652981
0.741034	0.65783
0.740872	0.66327
0.740907	0.663627
0.740854	0.659479
0.740829	0.659055
0.740854	0.659998
0.740706	0.655837
0.740808	0.655274
0.740607	0.65564
0.740547	0.657169
0.740583	0.656567
0.74059	0.658007
0.740569	0.656829
0.740695	0.655034
0.740558	0.650817
0.740569	0.658798
0.740558	0.658239
0.740421	0.655191
0.74054	0.653419
0.740484	0.654002
0.740442	0.65166
0.740438	0.654091
0.740424	0.653396
0.740329	0.654102
0.740209	0.65507
0.740241	0.655479
0.740213	0.656147
0.740163	0.653926
0.740124	0.653595
0.740156	0.653117
0.740089	0.654842
0.740022	0.654576
0.74016	0.64736
0.740177	0.652974
0.740019	0.656757
0.740012	0.654909
0.739895	0.656078
0.739991	0.656947
0.740022	0.654549
0.740022	0.654136
0.739994	0.65185
0.739955	0.651403
0.739874	0.65467
0.739772	0.65526
0.739825	0.655041
0.739758	0.651745
0.739698	0.656042
0.739726	0.65526
0.739694	0.65023
0.739652	0.653296
0.739596	0.655401
0.739599	0.657658
0.739582	0.652536
0.739606	0.652681
0.739571	0.653671
0.739599	0.655323
0.739575	0.652379
0.739571	0.654339
0.739353	0.654621
0.739279	0.653807
0.739504	0.653345
0.739462	0.653783
0.739367	0.657231
0.739314	0.660139
0.739321	0.656272
0.739353	0.657175
0.739307	0.656154
0.739265	0.659126
0.739198	0.660675
0.739176	0.658049
0.739191	0.660769
0.739095	0.654786
0.739078	0.657164
0.739173	0.660226
0.739035	0.656572
0.739183	0.6533
0.73893	0.65865
0.738877	0.659895
0.73888	0.660418
0.739145	0.656635
0.738803	0.652994
0.738831	0.653066
0.738951	0.651908
0.738792	0.652252
0.738894	0.653043
0.738775	0.653814
0.73887	0.653517
0.738838	0.654049
0.738775	0.655837
0.738764	0.653892
0.738725	0.653723
0.738655	0.659035
0.73862	0.658764
0.738535	0.662581
0.738546	0.662736
0.738503	0.657593
0.738503	0.657613
0.738521	0.658275
0.738415	0.658183
0.738517	0.658181
0.738352	0.656597
0.738345	0.65973
0.738443	0.661292
0.738447	0.654791
0.738345	0.660928
0.738394	0.66068
0.738338	0.66
0.738257	0.65884
0.738348	0.658952
0.738144	0.658626
0.738151	0.658921
0.737946	0.662758
0.738087	0.658787
0.73808	0.662159
0.73795	0.660302
0.737964	0.659801
0.737992	0.661357
0.737932	0.659904
0.737953	0.66141
0.737957	0.660586
0.737851	0.65792
0.737953	0.662595
0.737707	0.660105
0.737682	0.66156
0.737872	0.661019
0.737679	0.66074
0.737693	0.659926
0.737837	0.657267
0.73776	0.657488
0.737612	0.654976
0.737633	0.659162
0.737555	0.657803
0.737573	0.657924
0.737552	0.657439
0.737474	0.660078
0.737351	0.658939
0.737442	0.658002
0.737411	0.657707
0.737263	0.659439
0.73728	0.651472
0.737227	0.654505
0.73722	0.660139
0.73716	0.659687
0.737178	0.658217
0.737287	0.656308
0.737146	0.660606
0.737171	0.654469
0.737245	0.659323
0.737231	0.657877
0.737139	0.658954
0.737146	0.659667
0.736889	0.660856
0.737069	0.660204
0.736981	0.662508
0.73696	0.660434
0.736917	0.660047
0.736819	0.660831
0.736889	0.660925
0.736759	0.658025
0.736773	0.649984
0.736738	0.6532
0.736664	0.650198
0.736688	0.656226
0.73672	0.657908
0.736575	0.65636
0.73672	0.659079
0.736473	0.659739
0.736727	0.658733
0.73647	0.655021
0.736597	0.65535
0.736554	0.654585
0.736477	0.65364
0.736473	0.655314
0.73647	0.654301
0.736438	0.65457
0.736459	0.655564
0.73635	0.65421
0.73636	0.65589
0.736248	0.653546
0.736322	0.652864
0.736318	0.6529
0.736255	0.658726
0.73629	0.652795
0.736184	0.650831
0.736075	0.65145
0.736064	0.651973
0.736071	0.651117
0.736019	0.649622
0.736057	0.651396
0.735955	0.651088
0.736061	0.653164
0.735966	0.655253
0.736061	0.651521
0.736064	0.653291
0.735906	0.654744
0.735909	0.65358
0.735899	0.65374
0.735913	0.653255
0.735899	0.655466
0.735899	0.655602
0.735849	0.654882
0.735842	0.648435
0.735744	0.654337
0.735747	0.651626
0.735684	0.653074
