Pcell	transmission
150.644	37985.1
150.669	37960.9
150.668	37936.7
150.67	37912.3
150.669	37887.8
150.633	37863.4
150.631	37839.3
150.669	37814.9
150.635	37790.7
150.669	37766.3
150.632	37742.1
150.669	37717.8
150.629	37693.6
150.671	37669.3
150.633	37645.1
150.652	37620.8
150.67	37596.5
150.629	37572.3
150.631	37548.2
150.631	37524.2
150.628	37500.3
150.63	37476.5
150.642	37452.7
150.669	37428.6
150.631	37404.6
150.669	37380.4
150.669	37356.1
150.634	37331.8
150.662	37307.5
150.631	37283.3
150.63	37259.2
150.669	37234.9
150.63	37210.8
150.63	37186.8
150.632	37162.8
150.645	37138.7
150.631	37114.8
150.632	37090.9
150.637	37066.9
150.631	37043
150.63	37019.2
150.629	36995.4
150.631	36971.5
150.629	36947.7
150.629	36923.9
150.63	36900.1
150.631	36876.3
150.631	36852.5
150.63	36828.6
150.629	36804.8
150.63	36780.9
150.629	36757.1
150.623	36733.2
150.624	36709.4
150.614	36685.7
150.619	36662
150.609	36638.3
150.62	36614.7
150.628	36590.9
150.62	36567.2
150.621	36543.5
150.618	36519.7
150.621	36496
150.623	36472.2
150.622	36448.3
150.629	36424.4
150.624	36400.5
150.628	36376.5
150.614	36352.6
150.619	36328.6
150.611	36304.8
150.62	36280.8
150.613	36257
150.611	36233.1
150.611	36209.3
150.615	36185.5
150.621	36161.6
150.611	36137.7
150.602	36114
150.618	36090.1
150.611	36066.3
150.581	36042.6
150.593	36019.1
150.607	35995.5
150.585	35972
150.583	35948.6
150.584	35925.3
150.591	35901.9
150.574	35878.7
150.576	35855.5
150.58	35832.4
150.571	35809.3
150.573	35786.3
150.568	35763.2
150.574	35740.2
150.576	35717.2
150.572	35694.1
150.571	35671
150.554	35648
150.562	35625
150.553	35602.1
150.548	35579.3
150.548	35556.4
150.568	35533.5
150.547	35510.6
150.567	35487.6
150.565	35464.5
150.548	35441.5
150.56	35418.3
150.551	35395.2
150.551	35372.1
150.551	35348.9
150.551	35325.7
150.549	35302.5
150.552	35279.3
150.546	35256
150.551	35232.7
150.549	35209.4
150.546	35186.1
150.536	35162.8
150.539	35139.5
150.53	35116.3
150.543	35093
150.526	35069.8
150.507	35046.8
150.528	35023.8
150.532	35000.7
150.503	34977.8
150.513	34954.9
150.509	34932
150.511	34909.2
150.511	34886.4
150.522	34863.5
150.538	34840.4
150.52	34817.2
150.517	34794
150.528	34770.8
150.525	34747.4
150.509	34724.1
150.509	34700.8
150.511	34677.6
150.516	34654.2
150.512	34630.9
150.506	34607.6
150.503	34584.3
150.506	34561
150.504	34537.7
150.506	34514.4
150.503	34491.1
150.496	34467.8
150.493	34444.5
150.5	34421.3
150.497	34398
150.501	34374.7
150.488	34351.4
150.493	34328.2
150.494	34304.9
150.488	34281.6
150.492	34258.3
150.49	34235
150.489	34211.7
150.493	34188.4
150.475	34165.1
150.48	34141.8
150.486	34118.6
150.479	34095.3
150.487	34072
150.488	34048.6
150.457	34025.4
150.459	34002.3
150.448	33979.3
150.486	33956.2
150.45	33933.2
150.445	33910.3
150.45	33887.5
150.453	33864.7
150.45	33841.9
150.489	33818.8
150.464	33795.7
150.485	33772.4
150.45	33749.1
150.451	33726
150.448	33702.8
150.489	33679.4
150.486	33655.8
150.448	33632.3
150.451	33608.8
150.451	33585.4
150.45	33562
150.463	33538.6
150.45	33515.2
150.45	33491.7
150.449	33468.3
150.447	33444.9
150.446	33421.6
150.437	33398.2
150.433	33375
150.429	33351.8
150.425	33328.8
150.423	33305.7
150.409	33282.9
150.395	33260.2
150.391	33237.7
150.387	33215.4
150.398	33193
150.386	33170.8
150.387	33148.7
150.381	33126.6
150.384	33104.5
150.386	33082.4
150.379	33060.3
150.387	33038.1
150.362	33016.1
150.387	32993.9
150.382	32971.7
150.377	32949.4
150.37	32927.1
150.364	32904.9
150.365	32882.6
150.363	32860.4
150.357	32838.1
150.346	32815.9
150.327	32793.9
150.333	32772
150.321	32750.2
150.312	32728.5
150.315	32706.9
150.313	32685.4
150.305	32663.9
150.293	32642.5
150.3	32621.2
150.298	32599.9
150.296	32578.5
150.262	32557.4
150.276	32536.3
150.274	32515.2
150.258	32494.2
150.257	32473.3
150.252	32452.4
150.241	32431.6
150.225	32411
150.226	32390.4
150.219	32370
150.214	32349.6
150.208	32329.2
150.202	32309
150.201	32288.7
150.2	32268.4
150.2	32248.1
150.2	32227.7
150.197	32207.3
150.186	32186.8
150.184	32166.4
150.163	32146
150.149	32125.7
150.141	32105.5
150.126	32085.6
150.121	32065.7
150.116	32046
150.116	32026.3
150.116	32006.6
150.117	31986.8
150.113	31967
150.103	31947.2
150.074	31927.6
150.068	31908
150.056	31888.6
150.043	31869.4
150.025	31850.4
150.016	31831.5
150.039	31812.6
150.025	31793.7
150.015	31774.8
150.003	31756
149.991	31737.3
149.997	31718.6
149.971	31699.9
149.969	31681.4
149.958	31662.8
149.936	31644.5
149.939	31626.2
149.929	31608
149.924	31589.8
149.927	31571.5
149.929	31553.2
149.91	31534.8
149.888	31516.5
149.87	31498.4
149.87	31480.4
149.867	31462.3
149.842	31444.4
149.866	31426.4
149.853	31408.4
149.827	31390.4
149.816	31372.5
149.805	31354.7
149.787	31337
149.761	31319.5
149.761	31302.2
149.763	31284.9
149.742	31267.8
149.74	31250.6
149.736	31233.5
149.716	31216.4
149.692	31199.6
149.7	31182.7
149.679	31165.9
149.679	31149.1
149.676	31132.3
149.658	31115.5
149.639	31098.8
149.619	31082.3
149.616	31065.8
149.617	31049.3
149.576	31033
149.576	31016.8
149.567	31000.6
149.559	30984.5
149.526	30968.6
149.507	30952.9
149.514	30937.2
149.491	30921.7
149.488	30906.2
149.458	30890.9
149.445	30875.7
149.439	30860.6
149.418	30845.6
149.386	30830.9
149.388	30816.3
149.371	30801.8
149.362	30787.3
149.337	30773
149.305	30759
149.303	30745.1
149.302	30731.2
149.273	30717.4
149.261	30703.7
149.226	30690.3
149.24	30676.8
149.214	30663.4
149.177	30650.3
149.152	30637.4
149.138	30624.7
149.137	30612
149.122	30599.5
149.092	30587
149.078	30574.8
149.072	30562.5
149.052	30550.3
149.014	30538.3
148.993	30526.5
148.954	30515
148.95	30503.8
148.94	30492.6
148.917	30481.5
148.881	30470.7
148.877	30459.9
148.839	30449.4
148.818	30439.1
148.805	30429
148.767	30419.1
148.764	30409.2
148.734	30399.6
148.704	30390.1
148.682	30380.9
148.679	30371.7
148.639	30362.6
148.615	30353.8
148.611	30345
148.568	30336.3
148.549	30327.9
148.548	30319.4
148.501	30311.1
148.48	30303
148.441	30295.1
148.427	30287.3
148.389	30279.8
148.371	30272.5
148.346	30265.4
148.323	30258.4
148.293	30251.5
148.261	30244.9
148.244	30238.4
148.222	30232
148.19	30225.8
148.147	30219.8
148.148	30213.9
148.119	30208
148.078	30202.4
148.07	30196.7
148.03	30191.3
147.995	30186
147.99	30180.8
147.95	30175.7
147.93	30170.7
147.91	30165.7
147.873	30160.8
147.833	30156.1
147.807	30151.7
147.8	30147.2
147.759	30142.8
147.712	30138.7
147.696	30134.8
147.678	30130.9
147.64	30127.1
147.631	30123.3
147.6	30119.6
147.559	30116
147.549	30112.4
147.51	30108.9
147.488	30105.4
147.445	30102.1
147.442	30098.7
147.406	30095.4
147.383	30092.1
147.363	30088.8
147.314	30085.6
147.298	30082.4
147.297	30079.1
147.251	30075.8
147.194	30072.7
147.174	30069.8
147.169	30066.8
147.121	30063.9
147.093	30061.2
147.066	30058.5
147.053	30055.9
147.015	30053.2
147.006	30050.5
146.982	30047.8
146.948	30045
146.924	30042.2
146.921	30039.2
146.877	30036.1
146.862	30033
146.835	30029.8
